# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Na/Fe]
bwf082	C.R.daSilveira+,AAP, 614, A149, 2018			4350	1.89	0.09	0.09	
bwf083	C.R.daSilveira+,AAP, 614, A149, 2018			4400	2.01	-0.01	-0.01	
bwf085	C.R.daSilveira+,AAP, 614, A149, 2018			4500	1.93	0.31	0.31	
bwf086	C.R.daSilveira+,AAP, 614, A149, 2018			4300	1.78	0.16	0.16	
bwf087	C.R.daSilveira+,AAP, 614, A149, 2018			4350	1.97	0.12	0.12	
bwf088	C.R.daSilveira+,AAP, 614, A149, 2018			4350	1.88	0.31	0.31	
bwf091	C.R.daSilveira+,AAP, 614, A149, 2018			4400	2.05	0.16	0.16	
bwf092	C.R.daSilveira+,AAP, 614, A149, 2018			4600	2.03	-0.25	-0.25	
bwf093	C.R.daSilveira+,AAP, 614, A149, 2018			4100	1.84	0.07	0.07	
bwf095	C.R.daSilveira+,AAP, 614, A149, 2018			4600	2.08	0.01	0.01	
bwf096	C.R.daSilveira+,AAP, 614, A149, 2018			4150	1.75	-0.26	-0.26	
bwf097	C.R.daSilveira+,AAP, 614, A149, 2018			4600	1.99	0.39	0.39	
bwf098	C.R.daSilveira+,AAP, 614, A149, 2018			4200	1.79	0.13	0.13	
bwf099	C.R.daSilveira+,AAP, 614, A149, 2018			4200	1.8	-0.12	-0.12	
bwf100	C.R.daSilveira+,AAP, 614, A149, 2018			4450	1.98	0.03	0.03	
bwf101	C.R.daSilveira+,AAP, 614, A149, 2018			4250	1.83	0.49	0.49	
bwf102	C.R.daSilveira+,AAP, 614, A149, 2018			4450	1.89	-0.25	-0.25	
bwf103	C.R.daSilveira+,AAP, 614, A149, 2018			4250	1.83	0.45	0.45	
bwf104	C.R.daSilveira+,AAP, 614, A149, 2018			4500	2	-0.2	-0.2	
bwf105	C.R.daSilveira+,AAP, 614, A149, 2018			4300	1.85	0.08	0.08	
bwf107	C.R.daSilveira+,AAP, 614, A149, 2018			4300	1.98	-0.17	-0.17	
bwf108	C.R.daSilveira+,AAP, 614, A149, 2018			4450	1.9	0.55	0.55	
bwf109	C.R.daSilveira+,AAP, 614, A149, 2018			4500	1.93	-0.18	-0.18	
bwf110	C.R.daSilveira+,AAP, 614, A149, 2018			4650	2.02	-0.05	-0.05	
bwf111	C.R.daSilveira+,AAP, 614, A149, 2018			4500	1.98	0.12	0.12	
bwf112	C.R.daSilveira+,AAP, 614, A149, 2018			4200	1.94	0.28	0.28	
bwf113	C.R.daSilveira+,AAP, 614, A149, 2018			4250	1.9	0.2	0.2	
bwf114	C.R.daSilveira+,AAP, 614, A149, 2018			4600	1.99	-0.01	-0.01	
bwf115	C.R.daSilveira+,AAP, 614, A149, 2018			4650	2.1	0.1	0.1	
bwf116	C.R.daSilveira+,AAP, 614, A149, 2018			4350	1.83	0.11	0.11	
bwf117	C.R.daSilveira+,AAP, 614, A149, 2018			5200	2.32	-0.3	-0.3	
bwf118	C.R.daSilveira+,AAP, 614, A149, 2018			4750	2.08	-0.32	-0.32	
bwf119	C.R.daSilveira+,AAP, 614, A149, 2018			4300	1.89	0.1	0.1	
bwf120	C.R.daSilveira+,AAP, 614, A149, 2018			4200	1.8	0.05	0.05	
bwf121	C.R.daSilveira+,AAP, 614, A149, 2018			4800	2.09	-1.09	-1.09	
bwf122	C.R.daSilveira+,AAP, 614, A149, 2018			4800	2.27	0.01	0.01	
bwf123	C.R.daSilveira+,AAP, 614, A149, 2018			4800	2.12	-0.25	-0.25	
bwf124	C.R.daSilveira+,AAP, 614, A149, 2018			4200	1.82	0.19	0.19	
bwf126	C.R.daSilveira+,AAP, 614, A149, 2018			4300	1.92	-0.07	-0.07	
bwf128	C.R.daSilveira+,AAP, 614, A149, 2018			4350	1.9	0.05	0.05	
bwf129	C.R.daSilveira+,AAP, 614, A149, 2018			4400	1.94	0.31	0.31	
bwf133	C.R.daSilveira+,AAP, 614, A149, 2018			4300	1.84	0.33	0.33	
bwf134	C.R.daSilveira+,AAP, 614, A149, 2018			4250	1.78	0.33	0.33	
C0315358-094743	G.R.Ruchti+,ApJ, 737, 9, 2011	03 15 35.76	-09 47 45.6	4722	1.77	-1.35	-1.35	
C0549576-334007	G.R.Ruchti+,ApJ, 737, 9, 2011	05 49 57.60	-33 40 08.4	5379	3.04	-1.76	-1.76	
C1947015-235335	G.R.Ruchti+,ApJ, 737, 9, 2011	19 47 01.68	-23 53 34.8	4792	1.72	-1.8	-1.8	
CD-23_72	D.L.Burris+,ApJ, 544, 302, 2000	00 16 16.50	-22 34 40.0	5300	2.6	-1	-1	
CD-25_3416	J.P.Fulbright+,AJ, 120, 1841, 2000	06 37 14.60	-25 21 40.0	5300	4.3	-0.5	-0.6	0.11
CD-25_3416	R.G.Gratton+,AAP, 404, 187, 2003	06 37 14.60	-25 21 40.0	5391	4.55	-0.56	-0.61	0.07
CD-25_9024	E.Caffau+,AAP, 441, 533, 2005			5831	4.36	-0.8	-0.8	
CD-26_1453	E.Caffau+,AAP, 441, 533, 2005			5900	4.37	-0.63	-0.63	
CD-28_17381	E.Caffau+,AAP, 441, 533, 2005			5810	4.5	-1.16	-1.16	
CD-28_8426	B.E.Reddy+,MNRAS, 367, 1329, 2006	10 46 14.24	-29 20 25.5	5541	4.62	-0.66	-0.71	0.22
CD-3018140	D.Fabbian+,AAP, 500, 1143, 2009	20 44 06.24	-30 00 07.2	6272	4.12	-1.89	-1.94	
CD-30_18140	S.G.Ryan+,ApJ, 549, 55, 2001	20 44 06.24	-30 00 07.2	6270		-2.1		
CD-30_18140	P.E.Nissen+,AAP, 469, 319, 2007	20 44 06.24	-30 00 07.2	6272	4.12	-1.89	-1.89	
CD-30_18140	J.Melendez+,ApJ, 642, 1082, 2006	20 44 06.24	-30 00 07.2	6305	4.28	-1.7	-1.87	
CD-30_18140	C.J.Hansen+,AAP, 545, A31, 2012	20 44 06.24	-30 00 07.2	6340	4.13	-1.92	-1.92	
CD-30_18140	C.J.Akerman+,AAP, 414, 931, 2004	20 44 06.24	-30 00 07.2	6272	4.13	-1.88	-1.88	
CD-30_18140	P.E.Nissen+,AAP, 390, 235, 2002	20 44 06.24	-30 00 07.2	6274	4.12	-1.91	-1.88	
CD-30_18140	K.F.Tan+,MNRAS, 392, 205, 2009	20 44 06.24	-30 00 07.2	6195	4.15	-1.87	-1.86	
CD-30_18140	M.Asplund+,ApJ, 644, 229, 2006	20 44 06.24	-30 00 07.2	6222	4.11	-1.9	-1.9	
CD-30_18140	A.M.Amarsi+,AAP, 622, L4, 2019	20 44 06.29	-30 00 07.60	6241	4.13	-1.86	-1.86	
CD-30_18140	J.Melendez+,AAP, 515, L3, 2010	20 44 06.24	-30 00 07.2	6373	4.13	-1.9	-1.9	
CD-30_18140	P.E.Nissen+,AAP, 415, 993, 2004	20 44 06.24	-30 00 07.2	6272	4.13	-1.88	-1.88	
CD-31_305	S.G.Ryan+,ApJ, 549, 55, 2001	00 50 13.38	-30 36 13.7	5967		-1.02	-1.02	
CD-33_239	S.G.Ryan+,ApJ, 549, 55, 2001	00 39 51.93	-33 03 14.2	5993		-1.87	-1.87	
CD-33_3337	P.E.Nissen+,AAP, 511, L10, 2010	06 54 47.80	-33 44 49.0	5979	3.86	-1.36	-1.36	0.22
CD-33_3337	R.G.Gratton+,AAP, 404, 187, 2003	06 54 47.80	-33 44 49.0	6079	4.03	-1.25	-1.29	0.04
CD-33_3337	E.Caffau+,AAP, 441, 533, 2005			6079	4.03	-1.28	-1.28	
CD-33_3337	C.J.Hansen+,AAP, 545, A31, 2012	06 54 47.80	-33 44 49.0	5952	3.95	-1.55	-1.55	
CD-33_3337	H.L.Yan+,AAP, 585, 102, 2016	06 54 47.80	-33 44 49.0	5979	3.86	-1.36	-1.36	
CD-33_3337	M.Asplund+,ApJ, 644, 229, 2006	06 54 47.80	-33 44 49.0	5897	4.01	-1.31	-1.31	
CD-33_3337	J.Melendez+,AAP, 515, L3, 2010	06 54 47.80	-33 44 49.0	6001	4	-1.33	-1.33	
CD-33_3337	P. E. Nissen+,AAP, 530, A15, 2011	06 54 47.80	-33 44 49.0	5979	3.86	-1.36	-1.36	
CD-35_360	R.G.Gratton+,AAP, 404, 187, 2003	01 04 06.13	-34 40 28.9	5048	4.53	-1.12	-1.16	-0.06
CD-35_360	E.Caffau+,AAP, 441, 533, 2005			5048	4.53	-1.15	-1.15	
CD-36_1052	I.U.Roederer+,AJ, 147, 136, 2014	02 47 37.44	-36 06 27.0	6030	2.05	-1.86	-1.87	
CD-36_1052	I.U.Roederer+,ApJ, 711, 573, 2010	02 47 37.44	-36 06 27.0	6070	2.3	-1.65	-1.79	
CD-37_8363	E.Caffau+,AAP, 441, 533, 2005			5543	3.88	-0.7	-0.7	
CD-38_8457	E.Caffau+,AAP, 441, 533, 2005			5964	4.32	-1.84	-1.84	
CD-39_7674	E.Caffau+,AAP, 441, 533, 2005			6272	4.03	-0.42	-0.42	
CD-42_14278	P.E.Nissen+,AAP, 469, 319, 2007	19 32 19.15	-42 12 43.7	6085	4.39	-2.03		
CD-42_14278	J.Melendez+,ApJ, 642, 1082, 2006	19 32 19.15	-42 12 43.7	6006	4.52	-1.8	-1.99	
CD-42_14278	C.J.Akerman+,AAP, 414, 931, 2004	19 32 19.15	-42 12 43.7	5812	4.25	-2.12		
CD-42_14278	A.M.Amarsi+,AAP, 622, L4, 2019	19 32 19.15	-42 12 43.70	6011	4.38	-1.97	-1.97	
CD-42_14278	P.E.Nissen+,AAP, 415, 993, 2004	19 32 19.15	-42 12 43.7	5812	4.25	-2.12		
CD-43_6810	P.E.Nissen+,AAP, 511, L10, 2010	11 08 40.07	-44 15 33.7	5945	4.26	-0.43	-0.43	0.24
CD-43_6810	H.L.Yan+,AAP, 585, 102, 2016	11 08 40.07	-44 15 33.7	5945	4.26	-0.43	-0.43	
CD-43_6810	P. E. Nissen+,AAP, 530, A15, 2011	11 08 40.07	-44 15 33.7	5945	4.26	-0.43	-0.43	
CD-45_13178	E.Caffau+,AAP, 441, 533, 2005			5968	4.4	-1.81	-1.81	
CD-45_3283	P.E.Nissen+,AAP, 511, L10, 2010	07 34 18.60	-45 16 43.0	5597	4.55	-0.91	-0.91	-0.24
CD-45_3283	R.G.Gratton+,AAP, 404, 187, 2003	07 34 18.60	-45 16 43.0	5692	4.82	-0.81	-0.86	-0.41
CD-45_3283	E.Caffau+,AAP, 441, 533, 2005			5692	4.82	-0.85	-0.85	
CD-45_3283	C.J.Hansen+,AAP, 545, A31, 2012	07 34 18.60	-45 16 43.0	5657	4.97	-0.99	-0.99	
CD-45_3283	H.L.Yan+,AAP, 585, 102, 2016	07 34 18.60	-45 16 43.0	5597	4.55	-0.91	-0.91	
CD-45_3283	P. E. Nissen+,AAP, 530, A15, 2011	07 34 18.60	-45 16 43.0	5597	4.55	-0.91	-0.91	
CD-45_8786	E.Caffau+,AAP, 441, 533, 2005			5686	4.4	-0.76	-0.76	
CD-47_1087	R.G.Gratton+,AAP, 404, 187, 2003	03 34 44.47	-47 16 12.1	5672	4.38	-0.74	-0.8	-0.03
CD-47_1087	E.Caffau+,AAP, 441, 533, 2005			5625	4.82	-0.79	-0.79	
CD-48_2445	C.J.Hansen+,AAP, 598, 54, 2017	06 41 26.66	-48 13 15.0	6453	4.25	-1.93	-1.93	0.28
CD-48_2445	M.Asplund+,ApJ, 644, 229, 2006	06 41 26.66	-48 13 15.0	6222	4.25	-1.93	-1.93	
CD-48_2445	J.Melendez+,AAP, 515, L3, 2010	06 41 26.66	-48 13 15.0	6453	4.25	-1.93	-1.93	
CD-48_4818	E.Caffau+,AAP, 441, 533, 2005			6503	4.11	-0.43	-0.43	
CD-51_4628	P.E.Nissen+,AAP, 511, L10, 2010	10 17 14.88	-52 29 18.7	6153	4.31	-1.3	-1.3	-0.17
CD-51_4628	P. E. Nissen+,AAP, 530, A15, 2011	10 17 14.88	-52 29 18.7	6153	4.31	-1.3	-1.3	
CD-56_5169	E.Caffau+,AAP, 441, 533, 2005			5383	4.57	-0.94	-0.94	
CD-57_1633	P.E.Nissen+,AAP, 511, L10, 2010	07 06 28.95	-57 27 29.1	5873	4.28	-0.9	-0.9	-0.24
CD-57_1633	R.G.Gratton+,AAP, 404, 187, 2003	07 06 28.95	-57 27 29.1	6013	4.34	-0.8	-0.85	-0.4
CD-57_1633	C.J.Hansen+,AAP, 545, A31, 2012	07 06 28.95	-57 27 29.1	5907	4.26	-1.01	-1.01	
CD-57_1633	P.E.Nissen+,AAP, 390, 235, 2002	07 06 28.95	-57 27 29.1	5909	4.32	-0.89	-0.86	
CD-57_1633	K.F.Tan+,MNRAS, 392, 205, 2009	07 06 28.95	-57 27 29.1	5915	4.23	-0.91	-0.9	
