# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Al/Fe]	[Ba/Fe]	[Ca/Fe]	[Ce/Fe]	[C/Fe]	[Co/Fe]	[Cr/Fe]	[Eu/Fe]	[Mg/Fe]	[Mn/Fe]	[N/Fe]	[Ni/Fe]	[O/Fe]	[Si/Fe]	[Sr/Fe]	[Ti/Fe]	[V/Fe]	[Y/Fe]	[Zr/Fe]	log-e(Li)
HD145777	P.P.Goswami+,AAP, 649, 49, 2021	16 13 13.87	-15 12 01.25	4160	0.9	-2.17	-2.17			0.49	1.79	2.41	0.03	-0.21		0.82		0.67					0.66		1.22	1.05	
HD145777	D.Karinkuzhi+,AAP, 645, 61, 2021	16 13 13.87	-15 12 01.26	4443	0.5	-2.32	-2.32		0.99	0.58	1.14	1.39		-0.32	1	0.12	-0.33	1.69	-0.45	0.63		1.15	0.04		0.23	1.07	
HD16031	S.G.Ryan+,ApJ, 549, 55, 2001	02 34 11.00	-12 23 03.0	6038		-1.83																					2.09
HD16031	A.M.Boesgaard+,ApJ, 743, 140, 2011			6162	3.89	-1.81										0.47				0.78			0.49				
HD16031	I.U.Roederer+,AJ, 147, 136, 2014	02 34 11.00	-12 23 03.0	5870	3.75	-1.91	-2.01	-0.75	0	0.51		0.03	-0.12	-0.15	0.09	0.39	-0.42	<1.28	0.07	0.51	0.39	0.37	0.28	0.03	-0.18	0.35	2.03
HD16031	J.P.Fulbright+,AJ, 120, 1841, 2000	02 34 11.00	-12 23 03.0	6100	4.2	-1.6			0.16	0.38				-0.02		0.46			-0.04		0.35		0.43		0	-0.37	2.27
HD165195	J.P.Fulbright+,ApJ, 595, 1154, 2003	18 04 40.07	+03 46 44.7	4300	1.15	-2.2	-2.5													0.72							
HD165195	C.J.Hansen+,AAP, 545, A31, 2012	18 04 40.07	+03 46 44.7	4200	0.9	-2.1	-2.1		0.58						0.89							-0.19			-0.01	0.09	
HD165195	N.Ryde+,AAP, 415, 559, 2004	18 04 40.07	+03 46 44.7	4190	1	-1.75																					
HD165195	T.V.Mishenina+,AAP, 396, 189, 2002	18 04 40.07	+03 46 44.7				-2.03																				
HD165195	J.Melendez+,ApJ, 556, 858, 2001	18 04 40.07	+03 46 44.7	4293	0.5	-2.17	-2.17					-0.88								0.86							
HD165195	D.L.Burris+,ApJ, 544, 302, 2000	18 04 40.07	+03 46 44.7	4450	1.1	-2	-2.07		0.01						0.4										-0.32	0.27	
HD165195	T.V.Mishenina+,AAP, 370, 951, 2001	18 04 40.07	+03 46 44.7	4470	1.1	-2.03	-2.03		0	0.38	0.1				0.34	0.31					0.4	0					
HD165195	M.Takada-Hidai+,ApJ, 573, 614, 2002	18 04 40.07	+03 46 44.7	4190	1	-2.05	-2.39																				
HD165195	J.A.Johnson+,ApJ, 579, 616, 2002	18 04 40.07	+03 46 44.7				-2.14		-0.47													-0.05			-0.45	0.02	
HD165195	J.A.Johnson+,ApJ, 554, 888, 2001	18 04 40.07	+03 46 44.7	4375	0.3	-2.2	-2.15		-0.46		-0.25				0.31												
HD165195	J.Simmerer+,ApJ, 617, 1091, 2004	18 04 40.07	+03 46 44.7	4237	0.78	-2.6	-2.6					-0.32			0.74												
HD165195	J.A.Johnson+,ApJS, 139, 219, 2002	18 04 40.07	+03 46 44.7	4375	0.3	-2.2	-2.3	-0.73	-0.31	0.41	-0.16		0.15	-0.13	0.46	0.72	-0.29		0.05		0.53		0.21	-0.04	-0.29	0.18	
HD175606	I.U.Roederer+,AJ, 147, 136, 2014	18 58 51.34	-51 27 56.5	5920	3.7	-2.24	-2.39	-0.74	-0.12	0.46	<1	0.24	0.04	-0.02	0.28	0.3	-0.33	<0.16	0.13	0.32	0.5	0.39	0.38	0.08	-0.16	0.31	2.28
HD178443	A.McWilliam+,AJ, 109, 2757, 1995	19 10 36.85	-43 16 36.2	5180	1.65	-2.1			0.13	0.39		-0.43			0.19	0.36			-0.35			0.1					
HD178443	I.U.Roederer+,AJ, 147, 136, 2014	19 10 36.85	-43 16 36.2	5170	1.45	-2.02	-2.02	-0.7	0.11	0.53	-0.13	-0.29	-0.22	-0.18	0.25	0.51	-0.45	0.69	0.04	0.47	0.56	0.14	0.19	-0.12	-0.41	0.04	<0.68
