# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Na/Fe]
J1702+1732	H.Li+,ApJ, 931, 147, 2022	17 02 13.34	+17 32 12.94	5408	3.04	-2.29	-2.29	0.24
J1702+1917	H.Li+,ApJ, 931, 147, 2022	17 02 37.47	+19 17 21.46	4928	2.38	-2.67	-2.67	0.32
J1705+0855	H.Li+,ApJ, 931, 147, 2022	17 05 29.80	+08 55 59.17	6306	4.32	-2.95	-2.95	-0.32
J1705+3333	H.Li+,ApJ, 931, 147, 2022	17 05 56.94	+33 33 14.57	6370	4.08	-2.32	-2.32	0.02
J17093199-6027271	T.T.Hansen+,ApJ, 858, 92, 2018	17 09 32.0	-60 27 27.1	4547	0.77	-2.48	-2.47	
J17094926-6239285	T.T.Hansen+,ApJ, 858, 92, 2018	17 09 49.3	-62 39 28.6	4585	0.9	-2.51	-2.51	
J17124284-5211479	T.T.Hansen+,ApJ, 858, 92, 2018	17 12 42.8	-52 11 47.9	4750	1.15	-2.78	-2.78	
J1717+2449	H.Li+,ApJ, 931, 147, 2022	17 17 25.80	+24 49 25.94	4917	2.13	-2.45	-2.45	0.33
J1718+5044	H.Li+,ApJ, 931, 147, 2022	17 18 48.13	+50 44 21.92	5403	2.41	-2.75	-2.75	0.56
J1719+1358	H.Li+,ApJ, 931, 147, 2022	17 19 02.10	+13 58 27.03	4775	2.05	-2.77	-2.77	0.41
J17225742-7123000	T.T.Hansen+,ApJ, 858, 92, 2018	17 22 57.4	-71 22 60.0	5080	2.67	-2.42	-2.42	
J17255680-6603395	T.T.Hansen+,ApJ, 858, 92, 2018	17 25 56.8	-66 03 39.6	4686	0.69	-2.59	-2.59	
J17285930-7427532	T.T.Hansen+,ApJ, 858, 92, 2018	17 28 59.3	-74 27 53.2	4900	1.61	-2.04	-2.04	
J1730+4143	H.Li+,ApJ, 931, 147, 2022	17 30 25.58	+41 43 34.87	4919	2.06	-2.5	-2.5	0.37
J1731+2843	H.Li+,ApJ, 931, 147, 2022	17 31 45.54	+28 43 15.70	5058	2.43	-2.18	-2.18	0.18
J1733+2633	H.Li+,ApJ, 931, 147, 2022	17 33 26.54	+26 33 43.17	5208	2.52	-3.28	-3.28	-0.26
J17400682-6102129	T.T.Hansen+,ApJ, 858, 92, 2018	17 40 06.8	-61 02 12.9	4880	1.78	-2.24	-2.24	
J1741+3231	H.Li+,ApJ, 931, 147, 2022	17 41 46.38	+32 31 56.72	6462	4.1	-3.14	-3.14	-0.22
J17435113-5359333	T.T.Hansen+,ApJ, 858, 92, 2018	17 43 51.1	-53 59 33.4	5080	1.65	-2.24	-2.24	
J1745+5410	H.Li+,ApJ, 931, 147, 2022	17 45 58.66	+54 10 24.01	5518	2.15	-2.03	-2.03	0.69
J1757+2435	H.Li+,ApJ, 931, 147, 2022	17 57 51.20	+24 35 48.97	5768	2.41	-2.81	-2.81	0.56
J1810+5121	H.Li+,ApJ, 931, 147, 2022	18 10 59.88	+51 21 19.89	6213	4.33	-3.3	-3.31	-0.22
J1811+5159	H.Li+,ApJ, 931, 147, 2022	18 11 23.66	+51 59 46.83	4668	1.3	-2.51	-2.51	0.27
J18121045-4934495	T.T.Hansen+,ApJ, 858, 92, 2018	18 12 10.5	-49 34 49.5	4436	0.76	-3.02	-3.02	
J18285086-3434203	T.T.Hansen+,ApJ, 858, 92, 2018	18 28 50.9	-34 34 20.4	4630	1.12	-2.46	-2.46	
J1829+4852	H.Li+,ApJ, 931, 147, 2022	18 29 18.10	+48 52 38.90	6213	4.16	-2.07	-2.08	0.37
J18294122-4504000	T.T.Hansen+,ApJ, 858, 92, 2018	18 29 41.2	-45 04 00.1	4700	1.25	-2.48	-2.48	
J1833+1309	H.Li+,ApJ, 931, 147, 2022	18 33 16.85	+13 09 21.20	5296	3.51	-2.64	-2.64	0.26
J18362318-6428124	T.T.Hansen+,ApJ, 858, 92, 2018	18 36 23.2	-64 28 12.5	4896	1.8	-2.57	-2.57	
J18363613-7136597	T.T.Hansen+,ApJ, 858, 92, 2018	18 36 36.1	-71 36 59.8	4650	0.65	-2.52	-2.52	
J1848+4401	H.Li+,ApJ, 931, 147, 2022	18 48 59.78	+44 01 18.35	5270	3.14	-2.54	-2.54	-0.46
J1855+5903	H.Li+,ApJ, 931, 147, 2022	18 55 24.25	+59 03 17.07	6047	4.09	-2.01	-2.01	0.33
J18562774-7251331	T.T.Hansen+,ApJ, 858, 92, 2018	18 56 27.7	-72 51 33.1	4709	1.08	-2.26	-2.26	
J191618.2-554445	G.R.Ruchti+,ApJ, 737, 9, 2011	19 16 18.24	-55 44 45.6	4438	0.83	-2.18	-2.18	
J19161821-5544454	T.T.Hansen+,ApJ, 858, 92, 2018	19 16 18.2	-55 44 45.4	4450	0.65	-2.35	-2.35	
J19172402-4211240	T.T.Hansen+,ApJ, 858, 92, 2018	19 17 24.0	-42 11 24.1	4775	1.06	-2.61	-2.44	
J19202070-6627202	T.T.Hansen+,ApJ, 858, 92, 2018	19 20 20.7	-66 27 20.3	4690	1.64	-2.1	-2.1	
J19215077-4452545	T.T.Hansen+,ApJ, 858, 92, 2018	19 21 50.8	-44 52 54.6	4450	0.1	-2.56	-2.56	
J1923+5036	H.Li+,ApJ, 931, 147, 2022	19 23 50.95	+50 36 51.35	5014	1.85	-2.64	-2.64	0.58
J19232518-5833410	T.T.Hansen+,ApJ, 858, 92, 2018	19 23 25.2	-58 33 40.9	5035	2.12	-2.08	-2.08	
J193338.2-595902	G.R.Ruchti+,ApJ, 737, 9, 2011	19 33 38.16	-59 59 02.4	4920	1.41	-2.03	-2.03	
J19345497-5751400	T.T.Hansen+,ApJ, 858, 92, 2018	19 34 55.0	-57 51 40.1	4580	1.74	-2.46	-2.46	
J194550.6-392630	G.R.Ruchti+,ApJ, 737, 9, 2011	19 45 50.64	-39 26 31.2	4917	1.65	-2.58	-2.58	
J19494025-5424113	T.T.Hansen+,ApJ, 858, 92, 2018	19 49 40.3	-54 24 11.2	4486	0.91	-2.81	-2.81	
J19534978-5940001	T.T.Hansen+,ApJ, 858, 92, 2018	19 53 49.8	-59 40 00.1	4614	0.7	-2.79	-2.79	
J1954+5853	H.Li+,ApJ, 931, 147, 2022	19 54 44.11	+58 53 55.28	5861	3.84	-2.05	-2.05	-0.38
J1958+5533	H.Li+,ApJ, 931, 147, 2022	19 58 01.38	+55 33 34.80	6133	3.9	-2.44	-2.44	-0.11
J19594558-2549075	T.T.Hansen+,ApJ, 858, 92, 2018	19 59 45.5	-25 49 07.0	4540	0.79	-2.44	-2.44	
J200420.2-270110	G.R.Ruchti+,ApJ, 737, 9, 2011	20 04 20.40	-27 01 12.0	5203	2.74	-2.03	-2.03	
J200506.7-305745	C.M.Sakari+,ApJ, 868, 110, 2018	20 05 06.71	-30 57 44.7	4624	0.96	-2.74	-2.74	
J200728.5-495434	G.R.Ruchti+,ApJ, 737, 9, 2011	20 07 28.56	-49 54 32.4	4448	0.97	-2.13	-2.13	
J201027.8-082656	C.M.Sakari+,ApJ, 868, 110, 2018	20 10 27.84	-08 26 56.4	4195	0.22	-2.02	-2.02	-0.05
J201031.9-355854	G.R.Ruchti+,ApJ, 737, 9, 2011	20 10 31.92	-35 58 55.2	5250	1.8	-2.19	-2.19	
J201925.1-282207	G.R.Ruchti+,ApJ, 737, 9, 2011	20 19 25.20	-28 22 08.4	4471	1.16	-2.02	-2.02	
J20303339-2519500	T.T.Hansen+,ApJ, 858, 92, 2018	20 30 33.4	-25 19 50.2	4315	0.6	-2.18	-2.21	
J20313531-3127319	T.T.Hansen+,ApJ, 858, 92, 2018	20 31 35.3	-31 27 31.9	4894	1.39	-2.43	-2.43	
